AUTO_FLAG,CATA_ID,CATA_TYPE,EPI_DEPTH,EPI_LAT,EPI_LON,EQ_CATA_TYPE,EQ_TYPE,IS_DEL,LOCATION_C,LOCATION_S,LOC_STN,M,M_MB,M_MB2,M_ML,M_MS,M_MS7,NEW_DID,O_TIME,O_TIME_FRA,SAVE_TIME,SUM_STN,SYNC_TIME,id
M,CD20221228164512.00,,35,38.88,75.89,,M,,新疆克孜勒苏州阿克陶县,,0,3.0,0,0,0,0,0,CD20221228164512,2022-12-28 16:45:12,0,2022-12-28 16:53:06,0,2022-12-28 16:53:09,44388
M,CD20221227202823.00,,111,37.32,76.27,,M,,新疆喀什地区叶城县,,0,3.0,0,0,0,0,0,CD20221227202823,2022-12-27 20:28:22,0,2022-12-27 20:36:18,0,2022-12-27 20:36:20,44387
M,CD20221227113010.00,,10,37.74,101.30,,M,,青海海北州门源县,,0,4.1,0,0,0,0,0,CD20221227113010,2022-12-27 11:30:10,0,2022-12-27 11:37:01,0,2022-12-27 11:37:01,44386
M,CD20221227065621.00,,10,23.84,122.54,,M,,台湾花莲县海域,,0,4.0,0,0,0,0,0,CD20221227065621,2022-12-27 06:56:20,0,2022-12-27 07:05:28,0,2022-12-27 07:05:29,44385
M,CC20221226202110.00,,10,14.50,40.10,,M,,埃塞俄比亚,,0,5.2,0,0,0,0,0,CC20221226202110,2022-12-26 20:21:09,0,2022-12-26 20:54:24,0,2022-12-26 20:54:27,44384
M,CD20221226163401.00,,10,23.18,103.50,,M,,云南红河州蒙自市,,0,3.2,0,0,0,0,0,CD20221226163401,2022-12-26 16:34:00,0,2022-12-26 16:41:52,0,2022-12-26 16:41:52,44383
M,CC20221226132753.00,,520,-19.45,-177.50,,M,,斐济群岛,,0,5.7,0,0,0,0,0,CC20221226132753,2022-12-26 13:27:53,0,2022-12-26 13:57:33,0,2022-12-26 13:57:36,44382
M,CD20221226091825.00,,15,44.82,120.32,,M,,内蒙古通辽市扎鲁特旗,,0,3.4,0,0,0,0,0,CD20221226091825,2022-12-26 09:18:24,0,2022-12-26 09:25:59,0,2022-12-26 09:26:02,44381
M,CD20221226001731.00,,15,39.25,73.65,,M,,新疆克孜勒苏州阿克陶县,,0,3.1,0,0,0,0,0,CD20221226001731,2022-12-26 00:17:30,0,2022-12-26 00:24:26,0,2022-12-26 00:24:28,44380
M,CD20221225202830.00,,14,32.72,120.21,,M,,江苏盐城市东台市,,0,3.0,0,0,0,0,0,CD20221225202830,2022-12-25 20:28:29,0,2022-12-25 20:34:52,0,2022-12-25 20:34:55,44379
