所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
龙泉驿,大面,金茂悦龙山 ,4室2厅,南 北,高楼层(共33层),精装,119.66平米,178,"14,876元/平",2017年建,塔楼
新都,新都城区,汉嘉国际 ,3室2厅,南 北,中楼层(共33层),精装,134.35平米,195,"14,515元/平",2018年建,板塔结合
高新西,高新西,缤纷年华 ,3室2厅,东南 东,低楼层(共32层),精装,69.89平米,85,"12,162元/平",2016年建,塔楼
青羊,西南财大,光华馨地 ,2室1厅,南,中楼层(共11层),精装,80.53平米,128,"15,895元/平",2006年建,板塔结合
锦江,合江亭,银唐国际 ,2室1厅,西南,高楼层(共28层),精装,76平米,181,"23,816元/平",2006年建,塔楼
金牛,国宾,正成拉斐 ,3室2厅,西南,低楼层(共18层),简装,83.43平米,164.7,"19,742元/平",2012年建,塔楼
高新,华阳,美城悦荣府 ,3室1厅,西,中楼层(共35层),精装,105.17平米,268,"25,483元/平",2017年建,板塔结合
龙泉驿,洪河,东原晴天见 ,3室1厅,东南,低楼层(共34层),精装,89.23平米,171,"19,164元/平",2018年建,板塔结合
金牛,沙湾,文家巷18号 ,3室1厅,东南,中楼层(共6层),简装,78平米,90,"11,539元/平",2000年建,板楼
金牛,金牛万达,香山苑 ,3室1厅,东南,中楼层(共23层),简装,88.11平米,145,"16,457元/平",2007年建,板塔结合
武侯,红牌楼,双楠忆景 ,3室1厅,西南,中楼层(共9层),简装,84.65平米,175,"20,674元/平",2010年建,板塔结合
龙泉驿,东山,龙腾东麓城 ,3室2厅,东南,中楼层(共33层),精装,86.37平米,98,"11,347元/平",2019年建,板塔结合
锦江,三官堂,瑞升望江橡树林二期 ,3室1厅,北,低楼层(共34层),简装,86.43平米,210,"24,298元/平",2011年建,塔楼
武侯,外双楠,丽景华庭二期 ,4室2厅,东南,低楼层(共12层),简装,152.52平米,225,"14,753元/平",2006年建,板楼
温江,光华大道沿线,边城香格里 ,3室2厅,北,低楼层(共6层),精装,193.78平米,215,"11,096元/平",2011年建,板塔结合
武侯,丽都,中粮香颂丽都 ,3室2厅,西南,中楼层(共19层),精装,87.59平米,230,"26,259元/平",2015年建,板楼
武侯,丽都,交大归谷国际社区 ,3室1厅,东南,中楼层(共13层),精装,142.38平米,355,"24,934元/平",2013年建,板楼
成华,万年场,长融一代天骄 ,4室2厅,南,高楼层(共6层),精装,139.54平米,199.9,"14,326元/平",2006年建,板楼
锦江,合江亭,恒大都汇华庭 ,4室2厅,东南 南,高楼层(共45层),精装,83.19平米,237.5,"28,550元/平",2018年建,板塔结合
武侯,火车南站,绿地GIC贰期 ,4室2厅,东,高楼层(共42层),毛坯,134.37平米,365,"27,164元/平",2018年建,板塔结合
成华,八里小区,世家东部时空 ,3室1厅,西南,高楼层(共27层),精装,110.42平米,199.9,"18,104元/平",2013年建,塔楼
金牛,高家庄,金科苑中街103号 ,3室2厅,东,低楼层(共6层),精装,120平米,109.5,"9,125元/平",2007年建,板楼
高新西,高新西,万景峰二期 ,3室1厅,南,中楼层(共33层),精装,76.64平米,108,"14,092元/平",2012年建,塔楼
郫都,郫县万达,置信逸都C区 ,4室1厅,西,中楼层(共33层),精装,132.23平米,136.8,"10,346元/平",2012年建,板塔结合
成华,万年场,中粮锦云 ,3室2厅,西北,中楼层(共33层),精装,73.88平米,225,"30,455元/平",2016年建,板塔结合
武侯,紫荆,紫荆苑 ,3室2厅,东南,中楼层(共7层),精装,104.76平米,165,"15,751元/平",2000年建,板楼
高新,华府,融创南湖逸家 ,3室2厅,北,低楼层(共34层),精装,65.82平米,156,"23,702元/平",2017年建,板塔结合
成华,理工大,理工东苑 ,3室1厅,东,低楼层(共22层),简装,123.45平米,188,"15,229元/平",2014年建,塔楼
郫都,犀浦,交大卡布里城 ,3室1厅,南,低楼层(共25层),简装,118.33平米,125,"10,564元/平",2009年建,板塔结合
高新西,高新西,龙湖时代天街 ,3室2厅,南,高楼层(共29层),精装,105.02平米,172,"16,378元/平",2017年建,塔楼
