所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
郫都,橡树湾,华润橡树湾B区 ,3室2厅,东南,高楼层(共34层),精装,77.94平米,124,"15,910元/平",2013年建,板塔结合
武侯,武侯立交,金楠缤纷 ,3室1厅,西南,低楼层(共16层),精装,72平米,116,"16,112元/平",2015年建,板塔结合
温江,光华大道沿线,公园大道 ,3室1厅,南,低楼层(共27层),精装,85.8平米,105,"12,238元/平",2012年建,板塔结合
成华,万年场,隆鑫九熙 ,2室2厅,西北,高楼层(共34层),简装,78.05平米,142,"18,194元/平",2012年建,塔楼
青羊,西南财大,大地锦苑 ,3室2厅,南 北,中楼层(共11层),精装,106.43平米,198,"18,604元/平",2006年建,板楼
成华,万年场,舜和家园A区 ,2室2厅,西北,中楼层(共28层),简装,72.08平米,92,"12,764元/平",2009年建,塔楼
青羊,万家湾,清溪雅筑 ,3室1厅,南,高楼层(共18层),精装,88.62平米,155.6,"17,559元/平",2012年建,塔楼
成华,成渝立交,首创国际城一期 ,2室1厅,东南,低楼层(共34层),简装,61.29平米,123,"20,069元/平",2010年建,塔楼
武侯,棕北,保利中心 ,3室2厅,南 西,低楼层(共38层),精装,90.3平米,282,"31,230元/平",2013年建,板塔结合
青羊,外金沙,翠微清波A区 ,3室1厅,北,中楼层(共18层),简装,112.12平米,236,"21,049元/平",2008年建,板塔结合
锦江,沙河堡,沙河壹号二期 ,3室1厅,西北,低楼层(共32层),简装,95.81平米,178,"18,579元/平",2012年建,塔楼
成华,万年场,中粮锦云 ,3室1厅,西南,中楼层(共28层),精装,74.61平米,224,"30,023元/平",2016年建,塔楼
天府新区,海洋公园,成都玩家 ,3室2厅,东 西,低楼层(共27层),精装,108.11平米,275,"25,438元/平",2016年建,板塔结合
温江,光华大道沿线,合能珍宝琥珀三期 ,3室1厅,东南,高楼层(共33层),精装,79.65平米,135,"16,950元/平",2017年建,塔楼
青羊,万家湾,清溪雅筑 ,3室1厅,北,中楼层(共18层),简装,86.69平米,129.8,"14,973元/平",2012年建,塔楼
天府新区,南湖,南阳盛世二期 ,3室1厅,东南,中楼层(共30层),简装,103.49平米,175,"16,910元/平",2011年建,板塔结合
天府新区,南湖,南湖国际社区一期 ,3室1厅,东,中楼层(共34层),精装,126.76平米,262,"20,669元/平",2010年建,塔楼
万象城,万象城,水岸华庭 ,3室2厅,西南,高楼层(共28层),简装,89.28平米,160,"17,922元/平",2009年建,塔楼
天府新区,南湖,南湖左岸 ,3室2厅,东南 西北,中楼层(共25层),毛坯,100.62平米,209,"20,772元/平",2015年建,板塔结合
高新,华府,保利叶语 ,3室1厅,东南,高楼层(共24层),精装,76.12平米,155,"20,363元/平",2015年建,板塔结合
青羊,贝森,蓝光COCO蜜城 ,4室1厅,东,中楼层(共30层),毛坯,82.06平米,260,"31,685元/平",2014年建,塔楼
锦江,东光小区,金象嘉园 ,3室1厅,南 北,中楼层(共6层),简装,82.73平米,119,"14,385元/平",2003年建,平房
新都,保利公园,恒大上林苑 ,3室1厅,西南,低楼层(共33层),精装,114.2平米,83,"7,268元/平",2015年建,板塔结合
温江,温江大学城,中南上熙府珑悦 ,3室1厅,东南,高楼层(共25层),精装,112.07平米,170,"15,170元/平",2019年建,板塔结合
锦江,沙河堡,沙河壹号二期 ,3室1厅,南 北,中楼层(共34层),精装,108.25平米,240,"22,171元/平",2013年建,板塔结合
双流,航空港,蓝光圣菲town城 ,3室2厅,西北,中楼层(共22层),精装,109.39平米,170,"15,541元/平",2009年建,塔楼
武侯,高升桥,高升瑞景 ,2室1厅,东北,高楼层(共20层),简装,54.41平米,83,"15,255元/平",2011年建,板楼
锦江,三圣乡,蓝润锦江春天 ,3室2厅,东南,低楼层(共27层),简装,69.94平米,165,"23,592元/平",2016年建,板塔结合
青羊,浣花溪,百卉路11号 ,3室1厅,南,中楼层(共4层),精装,78.16平米,172,"22,007元/平",2001年建,板楼
锦江,三圣乡,绿地468公馆二期 ,3室2厅,西北,高楼层(共33层),毛坯,87.8平米,229,"26,083元/平",2015年建,板塔结合
青羊,草堂,盛世草堂 ,3室2厅,北,中楼层(共23层),简装,129.34平米,283,"21,881元/平",2008年建,板楼
武侯,丽都,优客联邦三期 ,1室1厅,西南,高楼层(共18层),精装,52.44平米,106,"20,214元/平",2012年建,板楼
武侯,外双楠,鹭岛国际三期 ,2室2厅,南,低楼层(共11层),简装,86.82平米,200,"23,037元/平",2010年建,板塔结合
成华,万年场,云水苑 ,3室2厅,东,高楼层(共38层),精装,88.74平米,188,"21,186元/平",2012年建,塔楼
成华,驷马桥,上行锦绣 ,3室1厅,东,中楼层(共21层),简装,74.07平米,113,"15,256元/平",2010年建,塔楼
高新,大源,北辰朗诗南门绿郡 ,4室2厅,东北 西南,中楼层(共25层),毛坯,135.87平米,460,"33,856元/平",2018年建,塔楼
锦江,卓锦城,鑫苑名家二期 ,3室2厅,东北,中楼层(共40层),精装,86.08平米,196,"22,770元/平",2012年建,板塔结合
金牛,国宾,恒大西锦城 ,3室1厅,西北,低楼层(共29层),精装,111.2平米,235,"21,134元/平",2013年建,塔楼
温江,光华大道沿线,洲际亚洲湾A区 ,3室1厅,西,高楼层(共38层),精装,92.12平米,129.8,"14,091元/平",2017年建,板塔结合
锦江,三圣乡,锦江城市花园三期 ,3室2厅,西南,高楼层(共34层),精装,68.86平米,135,"19,605元/平",2011年建,板塔结合
温江,温江老城,安居苑(温江) ,3室2厅,东南,中楼层(共7层),简装,127.79平米,83,"6,496元/平",2000年建,板楼
锦江,三圣乡,华韵天府 ,3室2厅,东北,高楼层(共39层),简装,71.91平米,197,"27,396元/平",2013年建,板塔结合
青羊,光华泡小,光华美邻 ,3室2厅,西,低楼层(共18层),精装,107.38平米,258,"24,027元/平",2007年建,塔楼
郫都,红光,同森锦熙 ,3室2厅,东南,中楼层(共33层),精装,93.83平米,117,"12,470元/平",2018年建,板塔结合
锦江,攀成钢,吉宝凌云峰阁 ,3室2厅,东 东南 南,高楼层(共26层),精装,127.76平米,459,"35,927元/平",2015年建,塔楼
青羊,万家湾,清河阳光 ,3室2厅,北 南,高楼层(共18层),毛坯,139.7平米,203,"14,532元/平",2010年建,板塔结合
青羊,贝森,双玺 ,3室2厅,南 北,高楼层(共18层),精装,88.79平米,208,"23,427元/平",2011年建,板塔结合
武侯,丽都,维港 ,2室1厅,西南,低楼层(共18层),简装,65.56平米,144,"21,965元/平",2011年建,板楼
西南交大,西南交大,天地芳苑 ,3室2厅,南,中楼层(共6层),毛坯,124.28平米,176,"14,162元/平",2001年建,板楼
龙泉驿,大面,世茂城三期 ,3室1厅,西南,低楼层(共34层),精装,92.21平米,165,"17,894元/平",2019年建,板塔结合
锦江,三圣乡,锦江城市花园三期 ,3室2厅,西南,高楼层(共34层),精装,68.86平米,135,"19,605元/平",2011年建,板塔结合
武侯,龙湾,花间集 ,3室2厅,东,高楼层(共18层),简装,138.73平米,258,"18,598元/平",2008年建,板楼
温江,花都大道,七彩花都A区 ,4室1厅,东,低楼层(共5层),毛坯,124.71平米,186,"14,915元/平",2008年建,板楼
郫都,犀浦,蓝光幸福满庭 ,3室2厅,东南,高楼层(共25层),精装,68.59平米,109,"15,892元/平",2014年建,板塔结合
高新,金融城,保利锦湖林语北区 ,3室1厅,西,高楼层(共22层),精装,90.32平米,388,"42,959元/平",2016年建,板塔结合
锦江,三圣乡,华都美林湾 ,3室2厅,东,中楼层(共33层),简装,90.75平米,195,"21,488元/平",2012年建,塔楼
武侯,丽都,丽都世家B区 ,1室1厅,西北,中楼层(共17层),精装,60.28平米,122,"20,239元/平",2014年建,板楼
锦江,九眼桥,天紫界 ,2室1厅,南,低楼层(共55层),简装,58.76平米,103,"17,529元/平",2011年建,塔楼
龙泉驿,龙泉驿城区,皇冠湖壹号 ,3室2厅,西北,中楼层(共33层),简装,89.75平米,164,"18,273元/平",2018年建,塔楼
万象城,万象城,华润二十四城二期 ,3室1厅,东南,高楼层(共29层),精装,76.62平米,218,"28,453元/平",2010年建,板塔结合
郫都,犀浦,中铁伊萨贝拉 ,3室2厅,西南,中楼层(共21层),简装,120.04平米,117,"9,747元/平",2010年建,板塔结合
成华,理工大,富临理宫 ,3室1厅,西南,中楼层(共32层),精装,90.31平米,195,"21,593元/平",2015年建,板楼
青羊,外光华,光华碧邻 ,3室1厅,西南,高楼层(共20层),精装,92.79平米,208,"22,417元/平",2013年建,塔楼
青羊,贝森,贝森兴苑 ,2室1厅,南,中楼层(共7层),简装,68.8平米,110,"15,989元/平",2000年建,板楼
高新,华府,融创南湖逸家 ,3室1厅,东 西,中楼层(共33层),简装,84.1平米,193,"22,949元/平",2017年建,板塔结合
东苑,东苑,东苑D区 ,3室2厅,南,低楼层(共26层),简装,101.42平米,243,"23,960元/平",2009年建,板塔结合
高新,衣冠庙,肖家河东一巷 ,2室1厅,东南,中楼层(共7层),精装,79.7平米,78,"9,787元/平",2000年建,板楼
龙泉驿,大面,电建地产云立方 ,3室2厅,东南,中楼层(共31层),简装,100.33平米,150,"14,951元/平",2015年建,板塔结合
高新,华阳,地源吾舍 ,2室1厅,南,低楼层(共18层),简装,84.13平米,130,"15,453元/平",2009年建,塔楼
高新,华阳,戛纳湾滨江 ,1室1厅,东,高楼层(共32层),精装,47.99平米,85.5,"17,817元/平",2010年建,塔楼
温江,温江大学城,金强大学城 ,2室2厅,东南,高楼层(共18层),精装,74.73平米,78.8,"10,545元/平",2009年建,板塔结合
成华,驷马桥,绿地世纪城 ,2室1厅,东,高楼层(共21层),简装,71.07平米,104,"14,634元/平",2012年建,塔楼
高新,华阳,美城悦荣府 ,2室1厅,东,高楼层(共34层),简装,67.71平米,163,"24,074元/平",2017年建,板塔结合
温江,温江新城,泰合新光华府 ,2室2厅,南,中楼层(共30层),精装,86.74平米,108,"12,452元/平",2016年建,板塔结合
青羊,府南新区,石人南路100号 ,1室1厅,南,7层,简装,38.9平米,43,"11,054元/平",1996年建,板楼
双流,文星镇,合力达卓越南城 ,2室1厅,北,低楼层(共20层),精装,56.52平米,75,"13,270元/平",2018年建,板塔结合
温江,花都大道,七彩花都A区 ,3室1厅,西南,高楼层(共5层),毛坯,105.85平米,120,"11,337元/平",2008年建,板楼
金牛,抚琴小区,人和逸景 ,2室1厅,南,中楼层(共22层),精装,90.28平米,108,"11,963元/平",2001年建,塔楼
武侯,川音,龙江商寓 ,2室1厅,南 北,高楼层(共6层),简装,72.73平米,85,"11,688元/平",1998年建,板楼
双流,公兴,通瑞月光湖 ,2室2厅,东,低楼层(共23层),精装,76.38平米,110,"14,402元/平",2012年建,塔楼
青羊,府南新区,锦西民宅 ,2室1厅,南,中楼层(共7层),简装,72.55平米,110,"15,162元/平",2000年建,板楼
高新西,高新西,龙湖时代天街 ,2室1厅,东北,高楼层(共29层),精装,70.93平米,108,"15,227元/平",2015年建,塔楼
成华,SM广场,合能耀之城 ,2室2厅,西,低楼层(共29层),精装,50.71平米,94,"18,537元/平",2010年建,板塔结合
锦江,三圣乡,华都美林湾 ,2室2厅,东北,低楼层(共33层),精装,86.86平米,182,"20,954元/平",2012年建,塔楼
武侯,簇桥,七里晓月 ,2室2厅,南 西南,低楼层(共13层),精装,89.52平米,164,"18,320元/平",2014年建,塔楼
锦江,三圣乡,锦江城市花园二期 ,2室1厅,东南,高楼层(共34层),精装,50.23平米,99,"19,710元/平",2010年建,板塔结合
锦江,红星路,上锦美地 ,1室1厅,南,中楼层(共41层),简装,54.87平米,99,"18,043元/平",2009年建,板楼
武侯,龙湾,龙腾花园 ,1室1厅,南 北,中楼层(共11层),简装,52.23平米,68.8,"13,173元/平",2007年建,板楼
温江,温江老城,成钞家园 ,2室1厅,东南,中楼层(共7层),简装,76.54平米,56.8,"7,421元/平",2000年建,板塔结合
锦江,东客站,新里柏仕公馆 ,1室1厅,西,高楼层(共32层),精装,50.66平米,98,"19,345元/平",2011年建,塔楼
温江,温江新城,星光华印象 ,2室1厅,南,中楼层(共41层),精装,71.31平米,98,"13,743元/平",2017年建,塔楼
温江,温江大学城,西财学府阳光 ,2室2厅,西北,低楼层(共32层),精装,72.49平米,85,"11,726元/平",2015年建,塔楼
双流,双流城区,空港上辰 ,2室2厅,东南,高楼层(共14层),简装,80.18平米,116,"14,468元/平",2013年建,塔楼
五块石,五块石,五福花园 ,2室1厅,南 北,中楼层(共7层),简装,89.37平米,88,"9,847元/平",2002年建,板楼
武侯,双楠,巴黎阳光 ,2室1厅,东南,7层,简装,93.21平米,148.5,"15,932元/平",2003年建,板塔结合
新都,新都城区,桂湖名城二期 ,2室1厅,南,中楼层(共27层),毛坯,80.39平米,82,"10,201元/平",2018年建,板楼
武侯,武侯立交,顺江新苑A区 ,1室1厅,东南,低楼层(共6层),简装,41平米,41,"10,000元/平",2003年建,板楼
青羊,人民公园,福华新起点 ,1室0厅,西北,中楼层(共15层),简装,30.99平米,58,"18,716元/平",2004年建,板塔结合
新都,大丰,保利城二期 ,2室2厅,东南,中楼层(共18层),其他,68.78平米,105,"15,267元/平",2014年建,板楼
成华,万年场,鲁能公馆1区 ,2室1厅,南,高楼层(共32层),精装,60.9平米,168,"27,587元/平",2017年建,板塔结合
金牛,成外,西岸翠景 ,2室1厅,东南,中楼层(共24层),精装,88.35平米,112,"12,677元/平",2019年建,板塔结合
双流,航空港,温哥华花园四期 ,2室1厅,南,中楼层(共16层),精装,54.09平米,66,"12,202元/平",2013年建,塔楼
高新,中和,时代天府 ,2室1厅,东,高楼层(共26层),简装,71.61平米,125,"17,456元/平",2017年建,塔楼
金牛,通惠门,枣子巷15号 ,2室1厅,南 北,低楼层(共5层),简装,50.5平米,61.6,"12,199元/平",1996年建,板塔结合
金牛,沙湾,锦西国际 ,2室1厅,东南,高楼层(共22层),其他,30.96平米,51,"16,473元/平",2008年建,塔楼
高新,华府,中海右岸二期 ,3室2厅,东 东南,中楼层(共33层),毛坯,87.27平米,185,"21,199元/平",2017年建,塔楼
武侯,广福桥,巷上生活馆 ,2室1厅,东南,中楼层(共15层),精装,75.29平米,112,"14,876元/平",2008年建,板楼
新都,大丰,时代锦翠 ,3室2厅,东南,高楼层(共17层),简装,81.67平米,105,"12,857元/平",2012年建,塔楼
青羊,外金沙,蓝光COCO金沙一期 ,2室1厅,东,高楼层(共18层),简装,52.05平米,119.5,"22,959元/平",2014年建,板塔结合
高新,中和,红树湾 ,2室2厅,西南 南,中楼层(共24层),精装,85.09平米,178,"20,920元/平",2010年建,板塔结合
双流,航空港,葛洲坝紫郡蘭园 ,3室2厅,南,低楼层(共17层),精装,100.62平米,186,"18,486元/平",2019年建,板楼
温江,光华大道沿线,合能珍宝琥珀 ,2室2厅,南,中楼层(共34层),精装,67.97平米,96,"14,124元/平",2014年建,板塔结合
温江,国色天乡,鹭湖宫十一区 ,2室2厅,西南,中楼层(共33层),毛坯,84.52平米,73,"8,638元/平",2015年建,塔楼
锦江,盐市口,大地城市脉搏 ,2室1厅,东南,高楼层(共20层),精装,72.08平米,160,"22,198元/平",2004年建,板楼
成华,新华公园,恒大豪庭 ,2室1厅,南,低楼层(共44层),精装,69.99平米,153,"21,861元/平",2017年建,板塔结合
金牛,国宾,仁和迎宾 ,2室2厅,西南,低楼层(共23层),精装,65.32平米,105,"16,075元/平",2012年建,塔楼
青羊,贝森,二十一世纪花园一期 ,2室1厅,南 北,中楼层(共8层),简装,86.19平米,151.8,"17,613元/平",2003年建,板楼
高新,中德,中铁城锦南汇 ,2室2厅,西,中楼层(共33层),简装,65.19平米,158,"24,237元/平",2016年建,塔楼
郫都,红光,宇众曼城 ,2室1厅,北 南,高楼层(共32层),精装,62.18平米,65,"10,454元/平",2013年建,塔楼
金牛,成外,派克公馆 ,2室1厅,东南 南,高楼层(共12层),精装,62.03平米,93,"14,993元/平",2011年建,板塔结合
青羊,金沙,揽胜金沙 ,2室2厅,南,中楼层(共35层),精装,78平米,185,"23,718元/平",2012年建,板塔结合
温江,国色天乡,银城花树间 ,2室2厅,东 东南,中楼层(共6层),精装,78.83平米,38,"4,821元/平",2010年建,塔楼
双流,航空港,和贵久居福 ,2室1厅,北,高楼层(共18层),精装,95平米,125,"13,158元/平",2008年建,塔楼
青羊,八宝街,西城角巷12号 ,2室1厅,东南,高楼层(共7层),其他,57.64平米,85,"14,747元/平",2002年建,板楼
蓝谷地,蓝谷地,大观苑二期 ,1室1厅,西南,中楼层(共6层),简装,43.15平米,49,"11,356元/平",2011年建,板楼
郫都,犀浦,华邑阳光里 ,2室2厅,东北,高楼层(共30层),简装,70.7平米,105,"14,852元/平",2015年建,塔楼
双流,航空港,葛洲坝紫郡蘭园 ,3室2厅,南,低楼层(共17层),精装,100.62平米,186,"18,486元/平",2019年建,板楼
青羊,外金沙,清水路苑 ,2室2厅,东 西,低楼层(共18层),其他,83.7平米,119,"14,218元/平",2012年建,板塔结合
高新西,高新西,上锦颐园佳境 ,2室2厅,东北,中楼层(共26层),精装,87.41平米,80,"9,153元/平",2012年建,板塔结合
青羊,外金沙,蓝光COCO金沙一期 ,2室1厅,东,高楼层(共18层),简装,52.05平米,119.5,"22,959元/平",2014年建,板塔结合
郫都,犀浦,华邑阳光里 ,2室2厅,东北,高楼层(共30层),简装,70.7平米,105,"14,852元/平",2015年建,塔楼
郫都,犀浦,华邑阳光里 ,2室1厅,西北,低楼层(共28层),其他,71.95平米,95,"13,204元/平",2015年建,板塔结合
锦江,盐市口,大地城市脉搏 ,2室1厅,东南,高楼层(共20层),精装,72.08平米,160,"22,198元/平",2004年建,板楼
温江,温江大学城,西财学府阳光 ,2室2厅,南,中楼层(共33层),精装,70.19平米,79.9,"11,384元/平",2013年建,塔楼
双流,蛟龙港,新双城 ,2室2厅,东,中楼层(共11层),精装,79平米,132,"16,709元/平",2017年建,板楼
郫都,犀浦,晶宝盛世桃源 ,2室1厅,西北,中楼层(共18层),其他,62.86平米,75,"11,932元/平",2012年建,板塔结合
高新,华府,中海右岸一期 ,2室1厅,北,低楼层(共33层),精装,72.25平米,155,"21,454元/平",2018年建,塔楼
双流,航空港,欧洲印象 ,2室1厅,东,高楼层(共22层),精装,61.45平米,108,"17,576元/平",2012年建,板塔结合
高新,中德,中铁城锦南汇 ,2室2厅,西,中楼层(共33层),简装,65.19平米,158,"24,237元/平",2016年建,塔楼
成华,新华公园,恒大豪庭 ,2室1厅,南,低楼层(共44层),精装,69.99平米,153,"21,861元/平",2017年建,板塔结合
金牛,国宾,仁和迎宾 ,2室2厅,西南,低楼层(共23层),精装,65.32平米,105,"16,075元/平",2012年建,塔楼
青羊,贝森,二十一世纪花园一期 ,2室1厅,南 北,中楼层(共8层),简装,86.19平米,151.8,"17,613元/平",2003年建,板楼
双流,航空港,和贵久居福 ,2室1厅,北,高楼层(共18层),精装,95平米,125,"13,158元/平",2008年建,塔楼
高新,华阳,益州国际 ,2室1厅,东,低楼层(共28层),精装,75.73平米,138,"18,223元/平",2014年建,板塔结合
双流,航空港,和贵久居福 ,2室1厅,南,中楼层(共17层),精装,80.03平米,110,"13,745元/平",2008年建,塔楼
高新西,中海国际,橙郡二期 ,2室2厅,南,中楼层(共17层),简装,86.16平米,129,"14,973元/平",2007年建,板塔结合
成华,驷马桥,北回归线一期 ,2室2厅,西南,中楼层(共22层),精装,83.59平米,115,"13,758元/平",2009年建,板塔结合
温江,花都大道,千禧河畔C区 ,3室2厅,西北,中楼层(共33层),精装,78平米,118,"15,129元/平",2016年建,板塔结合
双流,蛟龙港,棠府锦绣城 ,2室2厅,北,中楼层(共13层),精装,66.16平米,121,"18,289元/平",2017年建,板塔结合
五块石,五块石,蓝光花满庭一期 ,2室1厅,北,中楼层(共20层),精装,75.42平米,112,"14,851元/平",2011年建,板塔结合
天府新区,海洋公园,万科海悦汇城西区 ,2室1厅,西南,高楼层(共35层),精装,62.54平米,156,"24,945元/平",2015年建,塔楼
锦江,三官堂,望江橡树林一期 ,2室1厅,西,低楼层(共34层),精装,74.68平米,142,"19,015元/平",2009年建,塔楼
温江,温江大学城,花样年花样城五期 ,2室1厅,西,中楼层(共30层),精装,65.63平米,59,"8,990元/平",2015年建,塔楼
温江,温江新城,光华国际 ,2室2厅,东南,中楼层(共30层),精装,84.26平米,102,"12,106元/平",2013年建,板塔结合
武侯,外双楠,鹭岛国际四期 ,1室0厅,东,低楼层(共18层),精装,51.46平米,77.5,"15,061元/平",2012年建,塔楼
高新西,高新西,上锦颐园佳境 ,2室2厅,东北,中楼层(共26层),精装,87.41平米,80,"9,153元/平",2012年建,板塔结合
温江,温江大学城,西财学府阳光 ,2室2厅,南,中楼层(共33层),精装,70.19平米,79.9,"11,384元/平",2013年建,塔楼
温江,温江大学城,西财学府阳光 ,2室2厅,西北,低楼层(共32层),精装,72.5平米,89,"12,276元/平",2015年建,塔楼
天府新区,海洋公园,万科海悦汇城西区 ,2室1厅,西南,高楼层(共35层),精装,62.54平米,156,"24,945元/平",2015年建,塔楼
成华,驷马桥,驷马康城 ,2室1厅,南,低楼层(共21层),精装,78.13平米,132,"16,895元/平",2014年建,板塔结合
锦江,三官堂,望江橡树林一期 ,2室1厅,西,低楼层(共34层),精装,74.68平米,142,"19,015元/平",2009年建,塔楼
五块石,五块石,蓝光花满庭一期 ,2室2厅,北,中楼层(共21层),简装,77.05平米,112,"14,537元/平",2009年建,板塔结合
双流,蛟龙港,新双城 ,2室1厅,北,中楼层(共8层),精装,76.86平米,124,"16,134元/平",2015年建,板楼
双流,蛟龙港,棠府锦绣城 ,2室2厅,北,中楼层(共13层),精装,66.16平米,121,"18,289元/平",2017年建,板塔结合
温江,温江大学城,花样年花样城五期 ,2室1厅,西,中楼层(共30层),精装,65.63平米,59,"8,990元/平",2015年建,塔楼
高新,新北,美洲花园棕榈湾 ,3室1厅,东北,中楼层(共23层),精装,105.63平米,205,"19,408元/平",2016年建,板楼
锦江,合江亭,王家坝街20号 ,2室1厅,东南,低楼层(共6层),简装,61.47平米,125,"20,336元/平",1995年建,板楼
高新,大源,中海兰庭 ,3室2厅,南,高楼层(共32层),精装,88.51平米,340,"38,414元/平",2008年建,板塔结合
金牛,茶店子,幸福春天 ,3室1厅,东南,低楼层(共7层),简装,88.19平米,135,"15,308元/平",2004年建,板楼
天府新区,南湖,南湖半岛 ,2室2厅,西北,中楼层(共32层),精装,64.21平米,143,"22,271元/平",2015年建,板塔结合
郫都,犀浦,溪地湾 ,3室2厅,西北,高楼层(共33层),精装,88.97平米,125,"14,050元/平",2015年建,板塔结合
锦江,三圣乡,锦江城市花园二期 ,2室1厅,东南,中楼层(共34层),精装,52.22平米,100,"19,150元/平",2010年建,板塔结合
高新,中和,新景鼎南川宇 ,3室1厅,西南,高楼层(共34层),精装,79.76平米,188.9,"23,684元/平",2017年建,塔楼
锦江,东客站,新里柏仕公馆 ,3室1厅,西南,高楼层(共28层),精装,120.24平米,242,"20,127元/平",2011年建,塔楼
高新,华阳,戛纳湾金棕榈 ,3室1厅,西,低楼层(共32层),精装,94.31平米,202,"21,419元/平",2018年建,板塔结合
高新,华府,华宜上锦 ,3室1厅,东南,高楼层(共26层),精装,87.91平米,179,"20,362元/平",2014年建,塔楼
新都,大丰,红湖公园城 ,3室2厅,西南,中楼层(共26层),精装,90.34平米,99,"10,959元/平",2013年建,板塔结合
成华,成渝立交,首创国际城二期 ,3室1厅,南 北,低楼层(共34层),精装,82.11平米,162,"19,730元/平",2011年建,塔楼
新都,毗河,爵领欧城 ,3室1厅,东南,低楼层(共18层),简装,87.02平米,99,"11,377元/平",2014年建,塔楼
青羊,蜀汉路,博雅庭韵 ,3室2厅,东北,中楼层(共11层),精装,124.01平米,200,"16,128元/平",2003年建,板楼
高新,中和,军安卫士花园 ,2室2厅,东,中楼层(共26层),简装,83.05平米,143,"17,219元/平",2013年建,板塔结合
高新,新会展,英郡三期 ,3室2厅,东南,中楼层(共33层),精装,89.42平米,239,"26,728元/平",2012年建,板塔结合
武侯,双楠,蜀馨苑A区 ,3室1厅,东南,中楼层(共7层),精装,97.8平米,130,"13,293元/平",2000年建,板塔结合
武侯,棕北,锦绣街1号 ,3室1厅,南 北,中楼层(共6层),精装,73.07平米,100,"13,686元/平",2000年建,板楼
锦江,川师,比华利国际城二期 ,4室2厅,南,高楼层(共32层),精装,108.37平米,265,"24,454元/平",2011年建,塔楼
龙泉驿,大面,凯德卓锦万黛 ,3室1厅,西南,低楼层(共39层),精装,88.9平米,158,"17,773元/平",2015年建,板塔结合
温江,光华大道沿线,洲际亚洲湾A区 ,3室1厅,东,中楼层(共32层),精装,84.55平米,136,"16,086元/平",2017年建,板塔结合
双流,航空港,温哥华南苑 ,3室1厅,东,中楼层(共17层),精装,102.81平米,159,"15,466元/平",2013年建,板塔结合
新都,大丰,绿地城 ,3室2厅,北,高楼层(共33层),精装,86.08平米,133,"15,451元/平",2017年建,板塔结合
锦江,三官堂,瑞升望江橡树林三期 ,3室2厅,西,39层,精装,94.42平米,303,"32,091元/平",2017年建,板塔结合
武侯,航空路,曼哈顿一期 ,2室2厅,南,中楼层(共15层),精装,66.77平米,105,"15,726元/平",2003年建,板塔结合
温江,温江老城,丽日樱花 ,3室2厅,东南,低楼层(共6层),精装,109.74平米,82,"7,473元/平",2003年建,板楼
高新,神仙树,融城后街 ,2室1厅,南,中楼层(共17层),精装,80.32平米,145,"18,053元/平",2009年建,板塔结合
双流,航空港,文星花园 ,3室2厅,北,低楼层(共18层),毛坯,136.07平米,149,"10,951元/平",2010年建,板塔结合
龙泉驿,大面,百悦天鹅湖 ,3室2厅,南 东北,中楼层(共32层),精装,94.32平米,165,"17,494元/平",2015年建,板塔结合
龙泉驿,大面,海亮彩悦府 ,3室2厅,东北,中楼层(共22层),精装,79.5平米,140,"17,611元/平",2017年建,板塔结合
双流,航空港,蓝光圣菲悦城二期 ,3室2厅,东北,中楼层(共20层),精装,94.18平米,194,"20,599元/平",2017年建,塔楼
双流,航空港,和贵久居福 ,3室2厅,南,低楼层(共18层),精装,87.21平米,130,"14,907元/平",2008年建,塔楼
金牛,国宾,东原亲亲里 ,3室2厅,东北,中楼层(共19层),精装,88.39平米,168,"19,007元/平",2015年建,塔楼
双流,航空港,雅南居 ,3室2厅,北,低楼层(共7层),简装,108.82平米,92,"8,455元/平",2001年建,板楼
温江,光华大道沿线,合能珍宝琥珀 ,3室1厅,东,高楼层(共34层),精装,81.93平米,103,"12,572元/平",2014年建,板塔结合
成华,东郊记忆,万科金色乐府 ,3室2厅,西北,低楼层(共40层),精装,89.18平米,230,"25,791元/平",2016年建,板塔结合
龙泉驿,龙泉驿城区,艺锦湾一期 ,3室1厅,东南,高楼层(共6层),精装,141平米,218,"15,461元/平",2009年建,板塔结合
成华,动物园,蓝光coco国际二期 ,3室2厅,东,低楼层(共38层),精装,76.71平米,149,"19,424元/平",2016年建,板塔结合
成华,成渝立交,富丽东方 ,3室1厅,东南,中楼层(共33层),精装,106.31平米,202,"19,002元/平",2008年建,塔楼
高新,中和,怡丰静苑 ,3室1厅,南 北,高楼层(共6层),简装,101平米,126,"12,476元/平",1998年建,平房
成华,万年场,优品尚东 ,3室1厅,南 北,高楼层(共25层),精装,91.53平米,175,"19,120元/平",2009年建,板塔结合
锦江,九眼桥,蜀光新城二期 ,1室1厅,东,低楼层(共18层),简装,45.08平米,88,"19,521元/平",2009年建,板塔结合
青羊,蜀汉路,金沙上城 ,3室1厅,西南,中楼层(共6层),简装,79.49平米,115,"14,468元/平",2006年建,板塔结合
成华,驷马桥,招商雍华府二期 ,3室1厅,东南,高楼层(共20层),简装,91.62平米,213,"23,249元/平",2014年建,板塔结合
武侯,高升桥,成都A区 ,2室1厅,东南,中楼层(共20层),精装,63.25平米,133,"21,028元/平",2011年建,板塔结合
